排名,片名,导演,编剧,主演,类型,上映日期,片长,豆瓣评分,评价人数,制片地区/国家,语言,又名
No.118,岁月神偷 歲月神偷,罗启锐,罗启锐/张婉婷,吴君如/任达华/钟绍图/李治廷/蔡颖恩/秦沛/夏萍/谷德昭/许鞍华/张同祖/庄域飞/威廉希路/李健兴/林耀祺/廖爱玲/张翼东/钱耀荣/谭瓒强/陈庆航/黎祥荣,剧情/家庭,2010-04-16(中国大陆),117分钟,8.6,312194, 香港 / 中国大陆, 粤语 / 汉语普通话 / 英语 / 上海话 / 法语, 1969太空漫游 / Echoes Of The Rainbow
No.119,七武士 七人の侍,黑泽明,黑泽明/小国英雄/桥本忍,三船敏郎/志村乔/稻叶义男/宫口精二/千秋实/加东大介/木村功,剧情/动作/冒险,1954-04-26(日本),160分钟(国际版),9.2,78749, 日本, 日语, 七侠四义(港) / The Seven Samurai / Shichinin no samurai
No.120,海洋 Océans,雅克·贝汉/ 雅克·克鲁奥德,Christophe Cheysson/ 雅克·克鲁奥德/Laurent Debas/Stéphane Durand/Laurent Gaudé/雅克·贝汉/François Sarano,皮尔斯·布鲁斯南/雅克·贝汉/姜文/宫泽理惠,纪录片,2011-08-12(中国大陆),104分钟(法国),9.0,100166, 法国 / 瑞士 / 西班牙 / 美国 / 阿联酋, 法语, Oceans
No.121,神偷奶爸 Despicable Me,皮埃尔·柯芬/克里斯·雷纳德,肯·道里欧/塞尔希奥·巴勃罗斯/辛科·保罗,史蒂夫·卡瑞尔/杰森·席格尔/拉塞尔·布兰德/朱莉·安德鲁斯/威尔·阿奈特/克里斯汀·韦格/米兰达·卡斯格拉夫/达纳·盖尔/艾尔西·费舍尔/皮埃尔·柯芬/克里斯·雷纳德/杰梅奈·克莱门特/杰克·麦克布瑞尔/丹尼·麦克布莱德/敏迪·卡灵/罗布·许贝尔/肯·道里欧/郑肯,喜剧/动画/冒险,2010-06-20(莫斯科电影节),95分钟,8.5,384066, 美国 / 法国, 英语, 卑鄙的我 / 坏蛋奖门人(港) / 偷天换“月”(港) / 我很贱 / Baby的我
No.122,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,米林宏昌,宫崎骏/丹羽圭子/玛丽·诺顿,志田未来/神木隆之介/树木希林/三浦友和/大竹忍/竹下景子/藤原龙也,动画/奇幻/冒险,2010-07-17(日本),94分钟,8.7,220693, 日本, 日语, 借物少女艾莉缇(台) / 借东西的小矮人亚莉亚蒂(港) / 借东西的阿莉埃蒂 / 借东西的地下小人 / The Borrower Arrietty / The Secret World of Arrietty
No.123,真爱至上 Love Actually,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特/科林·费尔斯/艾玛·汤普森/凯拉·奈特莉/连姆·尼森/托马斯·布罗迪-桑斯特/比尔·奈伊/马丁·弗瑞曼/劳拉·琳妮/艾伦·瑞克曼/克里斯·马歇尔/罗德里戈·桑托罗/罗温·艾金森/比利·鲍伯·松顿/玛汀·麦古基安/安德鲁·林肯/露西娅·莫尼斯/海克·玛卡琪,剧情/喜剧/爱情,2003-09-07(多伦多电影节),135 分钟,8.5,319605, 英国 / 美国 / 法国, 英语 / 葡萄牙语 / 法语, 爱是您，爱是我(台) / 真的恋爱了(港) / 真情角落 / 真爱 / Love Actually Is All Around
No.126,谍影重重3 The Bourne Ultimatum,保罗·格林格拉斯,托尼·吉尔罗伊/斯科特·Z·本恩斯,马特·达蒙/朱丽娅·斯蒂尔斯/大卫·斯特雷泽恩/斯科特·格伦/帕迪·康斯戴恩/埃德加·拉米雷兹/阿尔伯特·芬尼/琼·艾伦/Tom Gallop/克里·约翰逊/丹尼尔·布鲁尔/乔伊·安沙/科林·斯廷顿/丹·弗雷登堡/Lucy Liemann,动作/悬疑/惊悚,2007-11-15(中国大陆),115分钟,8.7,183619, 美国 / 德国, 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语, 叛谍追击3：最后通牒(港) / 神鬼认证：最后通牒 (台) / 伯恩的最后通牒 / 终极伯恩
No.127,贫民窟的百万富翁 Slumdog Millionaire,丹尼·博伊尔/洛芙琳·坦丹,西蒙·博福伊/维卡斯·史瓦卢普,戴夫·帕特尔/沙鲁巴·舒克拉/亚尼·卡普/Rajendranath Zutshi/吉尼瓦·塔瓦尔/芙蕾达·平托/伊尔凡·可汗/Azharuddin Mohammed Ismail/阿什·马赫什·舍德卡/马赫什·曼杰瑞卡/麦活·米泰尔,剧情/爱情,2009-03-26(中国大陆),120 分钟,8.5,401021, 英国 / 美国, 英语 / 印地语 / 法语, 贫民百万富翁(台) / 一百万零一夜(港) / 贫民富翁 / 山寨富翁 / 阳光小阿三(豆友译名)
No.128,小森林 夏秋篇 リトル・フォレスト 夏・秋,森淳一,五十岚大介/森淳一,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,2014-08-30(日本),111分钟,8.9,132457, 日本, 日语, 小森食光/夏秋篇(台) / Little Forest Summer & Autumn
No.129,雨人 Rain Man,巴瑞·莱文森,罗纳德·巴斯/巴里·莫罗,达斯汀·霍夫曼/汤姆·克鲁斯/瓦莱丽亚·戈利诺/邦尼·亨特,剧情,1988-12-16(美国),133分钟,8.6,212969, 美国, 英语 / 意大利语, 手足情未了 / 手足情深
No.130,喜剧之王 喜劇之王,周星驰/李力持,曾瑾昌/周星驰/李敏/郑文辉/冯勉恒/梁嘉杰,周星驰/张柏芝/莫文蔚/吴孟达/林子善/田启文/李兆基/成龙/李思捷/郑文辉,剧情/喜剧/爱情,1999-02-13(香港),85分钟,8.5,319000, 香港, 粤语, King of Comedy
No.131,东邪西毒 東邪西毒,王家卫,王家卫/金庸,张国荣/张曼玉/梁朝伟/林青霞/张学友/梁家辉/杨采妮/刘嘉玲/邹兆龙/王祖贤,剧情/动作/爱情/武侠/古装,1994-09-17(中国大陆),100分钟,8.6,254362, 香港 / 台湾, 粤语 / 汉语普通话, Ashes of Time
No.132,记忆碎片 Memento,克里斯托弗·诺兰,克里斯托弗·诺兰/乔纳森·诺兰,盖·皮尔斯/凯瑞-安·莫斯/乔·潘托里亚诺/小马克·布恩/拉什·费加/乔雅·福克斯/斯蒂芬·托布罗斯基/哈里特·桑塞姆·哈里斯/托马斯·列农/考乐姆·吉斯·雷尼/金伯利·坎贝尔/玛丽安妮·穆勒雷尔/拉里·霍尔登,剧情/悬疑/惊悚/犯罪,2000-09-05(威尼斯电影节),113 分钟,8.5,283774, 美国, 英语, 失忆 / 记忆拼图 / 凶心人 / 记忆迷局 / Amnesia
No.133,燃情岁月 Legends of the Fall,爱德华·兹威克,威廉·D·威特利夫/Susan Shilliday,安东尼·霍普金斯/布拉德·皮特/朱莉娅·奥蒙德/艾丹·奎因/卡琳娜·隆巴德/亨利·托马斯,剧情/爱情/家庭/西部,1994-12-16(美国),133分钟,8.7,150446, 美国, 英语 / 康沃尔语, 秋日传奇 / 真爱一世情(台) / Legends of the Autumn
No.134,喜宴,李安,李安/詹姆斯·夏慕斯/冯光远,赵文瑄/归亚蕾/金素梅/郎雄/米切尔·利希藤斯坦,剧情/喜剧/爱情/同性/家庭,1993-02(柏林电影节),108分钟,8.8,141936, 台湾 / 美国, 汉语普通话 / 英语, The Wedding Banquet
No.135,怪兽电力公司 Monsters Inc,彼特·道格特/大卫·斯沃曼/李·昂克里奇,安德鲁·斯坦顿/丹尼尔·吉尔森/罗伯特·L·贝尔德/略特·里斯/乔纳森·罗伯特 /彼特·道格特/杰夫·皮金 /吉尔·卡尔顿/拉夫·埃格尔斯顿,约翰·古德曼/比利·克里斯托/玛丽·吉布斯/史蒂夫·布西密/詹姆斯·柯本/詹妮弗·提莉/鲍勃·彼德森/约翰·拉岑贝格/弗兰克·奥兹/丹尼尔·吉尔森/邦尼·亨特/杰克·安琪/Samuel Lord Black/Steve Susskind,喜剧/动画/儿童/奇幻,2001-11-02(美国),92 分钟,8.6,244372, 美国, 英语, 怪兽公司(港) / 怪物公司
No.136,疯狂原始人 The Croods,柯克·德·米科/克里斯·桑德斯,克里斯·桑德斯/柯克·德·米科/约翰·克立斯,尼古拉斯·凯奇/艾玛·斯通/瑞安·雷诺兹/凯瑟琳·基纳/克劳斯·利特曼/克拉克·杜克/克里斯·桑德斯/兰迪·汤姆,喜剧/动画/冒险,2013-04-20(中国大陆),98分钟,8.7,375716, 美国, 英语, 古鲁家族(港/台) / 克鲁德一家 / 疯狂家族
No.137,虎口脱险 La grande vadrouille,热拉尔·乌里,热拉尔·乌里/达妮埃尔·汤普森/马塞尔·朱利安/乔治·塔贝/安德烈·塔贝,路易·德·菲耐斯/布尔维尔/克劳迪奥·布鲁克/安德丽·帕里西/科莱特·布罗塞/迈克·马歇尔/玛丽·马凯/皮埃尔·贝尔坦/本诺·施特岑巴赫/玛丽·杜布瓦/特里-托马斯/西戈德·拉普/赖因哈德·科尔德霍夫/赫尔穆特·施奈德/保罗·普雷博伊斯特/汉斯·迈尔/居伊·格罗索/米歇尔·莫多/彼得·雅各布/吕迪·勒努瓦/诺埃尔·达扎尔/皮埃尔·鲁塞尔/皮埃尔·巴斯蒂安/雅克·萨布隆/玛格·阿夫里尔/雅克·博杜因/加布里埃尔·戈班/保罗·梅塞/亨利·热内斯,喜剧/战争,1966-12-08(法国),132分钟,8.9,108524, 法国 / 英国, 法语 / 英语 / 德语, 横冲直撞出重围(港) / 大進擊(台) / Don't Look Now... We're Being Shot At!
No.138,黑天鹅 Black Swan,达伦·阿伦诺夫斯基,安德雷斯·海因斯/马克·海曼/约翰·J·麦克劳克林,娜塔莉·波特曼/米拉·库尼斯/文森特·卡索/芭芭拉·赫希/薇诺娜·瑞德/本杰明·米派德/克塞尼亚·索罗/克里斯汀娜·安娜波/詹妮特·蒙哥马利/塞巴斯蒂安·斯坦/托比·海明威/塞尔吉奥·托拉多/马克·马戈利斯/蒂娜·斯隆/亚伯拉罕·阿罗诺夫斯基/夏洛特·阿罗诺夫斯基/玛西娅·让·库尔茨/肖恩·奥哈根/克里斯托弗·加廷/黛博拉·奥夫纳/斯坦利·B·赫尔曼/库尔特·弗勒曼/帕特里克·赫辛格/莎拉·海伊,剧情/惊悚,2010-09-01(威尼斯电影节),108分钟,8.5,422840, 美国, 英语 / 法语 / 意大利语, 夺命黑天鹅 / 霸王别鹅(豆友译名)
No.139,卢旺达饭店 Hotel Rwanda,特瑞·乔治,特瑞·乔治/凯尔·皮尔森,唐·钱德尔/苏菲·奥康内多/杰昆·菲尼克斯/尼克·诺特/哈基姆·凯-卡西姆/托尼·戈罗奇/法纳·莫科纳/大卫·奥哈拉/莫苏西·麦格诺/西莫·莫加瓦扎/卡拉·西摩/罗伯托·西特兰/Desmond Dube/蕾乐蒂·库马洛,剧情/历史/战争,2004-12-22(美国),121分钟,8.8,121328, 英国 / 南非 / 意大利 / 美国, 英语 / 法语, 卢安达饭店(台)
No.140,英雄本色,吴宇森,陈庆嘉/吴宇森/梁淑华,周润发/狄龙/张国荣/朱宝意/李子雄/田丰/吴宇森/曾江/成奎安/徐克/陈志辉,动作/犯罪,2017-11-17(中国大陆),95分钟,8.6,165666, 香港, 粤语 / 汉语普通话 / 英语, A Better Tomorrow / Gangland Boss
No.141,恋恋笔记本 The Notebook,尼克·卡萨维茨,扬·萨尔迪/杰里米·莱文/尼古拉斯·斯帕克斯,瑞恩·高斯林/瑞秋·麦克亚当斯/吉娜·罗兰兹/詹姆斯·加纳/斯塔尔勒塔·杜波利斯/凯文·康诺利/希瑟·沃奎斯特/杰弗里·奈特/琼·艾伦,剧情/爱情,2004-06-25(美国),123分钟,8.5,285963, 美国, 英语, 深情日记 / 写我情真 / 手札情缘 / 忘了·忘不了 / 恋恋记事本 / 恋爱日记
No.142,猜火车 Trainspotting,丹尼·博伊尔,约翰·霍奇/埃文·威尔什,伊万·麦克格雷格/艾文·布莱纳/约翰尼·李·米勒/凯文·麦克基德/罗伯特·卡莱尔/凯莉·麦克唐纳/彼得·穆兰/詹姆斯·卡沙莫/艾琳·尼古拉斯/苏珊·维德勒/波林·林奇/雪莉·亨德森/斯图尔特·麦克奎里/埃文·威尔什/戴尔·温顿/基思·艾伦/凯文·艾伦/芬利·威尔士/约翰·霍奇/汤姆·德尔玛,剧情/犯罪,1996-02-23(英国),94分钟,8.5,251387, 英国, 英语, 迷幻列车(港) / 定位的火车
No.143,穿越时空的少女 時をかける少女,细田守,奥寺佐渡子/筒井康隆,仲里依纱/石田卓也/板仓光隆/原沙知绘/谷村美月/垣内彩未/关户优希,剧情/爱情/科幻/动画,2006-07-15(日本),98分钟,8.6,187585, 日本, 日语, 跳跃吧！时空少女(台) / Toki o kakeru shôjo / The Girl Who Leapt Through Time
No.144,魂断蓝桥 Waterloo Bridge,茂文·勒鲁瓦,乔治·弗罗斯切尔/Hans Rameau/罗伯特·E·舍伍德/塞缪尔·N·贝尔曼,费雯·丽/罗伯特·泰勒/露塞尔·沃特森/弗吉尼亚·菲尔德/玛丽亚·彭斯卡娅,剧情/爱情/战争,1940-05-17(美国),108 分钟,8.8,130687, 美国, 英语, 滑铁卢桥 / 断桥残梦
No.145,傲慢与偏见 Pride & Prejudice,乔·赖特,简·奥斯汀/黛博拉·莫盖茨,凯拉·奈特莉/马修·麦克费登/唐纳德·萨瑟兰/布兰达·布莱斯/凯瑞·穆里根/裴淳华/吉娜·马隆/妲露拉·莱莉/朱迪·丹奇/西蒙·伍兹/克劳迪·布莱克利/汤姆·霍兰德/鲁伯特·弗兰德/凯利·蕾莉/皮普·托伦斯/西妮德·马修斯,剧情/爱情,2005-09-16(英国),129 分钟,8.4,305526, 法国 / 英国 / 美国, 英语, 傲慢与偏见2005 / Pride And Prejudice
No.146,教父3 The Godfather: Part III,弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,阿尔·帕西诺/黛安·基顿/塔莉娅·夏尔/安迪·加西亚/埃里·瓦拉赫/乔·曼特纳/乔治·汉密尔顿/布里吉特·芳达/索菲亚·科波拉/雷夫·瓦朗/弗兰克·德安布罗西奥/敦尔·当纳利/理查德·布赖特/赫尔穆特·贝格/唐·诺韦洛,剧情/犯罪,1990-12-20,170分钟,8.8,131793, 美国, 英语 / 意大利语 / 德语 / 拉丁语, 教父第三集 / 教父 III
No.147,雨中曲 Singin' in the Rain,斯坦利·多南/吉恩·凯利,阿多夫·格林/贝蒂·康登,吉恩·凯利/唐纳德·奥康纳/黛比·雷诺斯/赛德·查里斯/简·哈根,喜剧/爱情/歌舞,1952-04-11(美国),103 分钟,8.9,94105, 美国, 英语, 雨中情 / 万花嬉春 / 百花嬉春
No.148,完美的世界 A Perfect World,克林特·伊斯特伍德,约翰·李·汉考克,凯文·科斯特纳/劳拉·邓恩/克林特·伊斯特伍德/T·J·劳瑟/基斯·斯扎拉巴基克,剧情/犯罪,1993-11-24(美国),138分钟,9.0,80996, 美国, 英语, 强盗保镳
No.149,纵横四海 緃横四海,吴宇森,吴宇森/高志森/秦小珍,周润发/张国荣/钟楚红/朱江/曾江/胡枫/唐宁/邓一君,剧情/喜剧/动作/犯罪,1991-02-02(香港),108分钟,8.7,147245, 香港, 粤语 / 英语 / 客家话 / 法语, Once a Thief
No.150,萤火之森 蛍火の杜へ,大森贵弘,绿川幸,佐仓绫音/内山昂辉,剧情/爱情/动画/奇幻,2011-09-17(日本),45分钟,8.7,159189, 日本, 日语, 萤火之社 / Hotarubi no mori e / To the Forest of Firefly Lights
No.151,7号房的礼物 7번방의 선물,李焕庆,李焕庆/刘英雅,柳承龙/朴信惠/郑镇荣/金正泰/吴达洙/朴元尚/郑满植/葛素媛,剧情/喜剧/家庭,2013-01-23(韩国),127分钟,8.7,177353, 韩国, 韩语, 戆爸的礼物(港) / 7号囚房的礼物 / 12月23日 / Gift From Room / Find Miracle in Cell No.7 / Miracle In Cell No.7
No.152,玩具总动员3 Toy Story 3,李·昂克里奇,迈克尔·阿恩特/约翰·拉塞特/安德鲁·斯坦顿/李·昂克里奇,汤姆·汉克斯/蒂姆·艾伦/琼·库萨克/尼德·巴蒂/唐·里克斯/迈克尔·基顿,喜剧/动画/奇幻/冒险,2010-06-16(中国大陆),103分钟,8.8,193880, 美国, 英语 / 西班牙语, 反斗奇兵3(港) / 玩具的故事3
No.153,海边的曼彻斯特 Manchester by the Sea,肯尼思·洛纳根,肯尼思·洛纳根,卡西·阿弗莱克/卢卡斯·赫奇斯/米歇尔·威廉姆斯/C·J·威尔逊/凯尔·钱德勒/卡拉·海沃德/格瑞辰·摩尔/泰特·多诺万/埃里卡·麦克德莫特/希瑟·伯恩斯/蜜西·雅格/斯蒂芬·亨德森/约什·汉密尔顿/卡罗琳·皮克曼/肖恩·菲茨吉本/肯尼思·洛纳根/利亚姆·麦克尼尔/马修·布罗德里克,剧情/家庭,2017-08-25(中国大陆),137分钟,8.6,183065, 美国, 英语, 情系海边之城(港) / 海曼
No.154,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,大卫·叶茨,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/海伦娜·伯翰·卡特/拉尔夫·费因斯/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/邦妮·怀特/朱丽·沃特斯/迈克尔·刚本/伊文娜·林奇/多姆纳尔·格里森/克蕾曼丝·波西/詹森·艾萨克/海伦·麦克洛瑞/马修·刘易斯/梁佩诗,剧情/悬疑/奇幻/冒险,2011-08-04(中国大陆),130分钟,8.6,276512, 美国 / 英国, 英语, 哈利波特7：死神的圣物2(港/台) / 哈利·波特与死圣(下) / 哈7(下) / 哈利·波特大结局
No.155,花样年华 花樣年華,王家卫,王家卫,梁朝伟/张曼玉/潘迪华/萧炳林/张耀扬/孙佳君/钱似莺/顾锦华,剧情/爱情,2000-05-20(戛纳电影节),98 分钟,8.5,249467, 香港 / 法国, 粤语 / 上海话 / 法语, In the Mood for Love
No.156,荒蛮故事 Relatos salvajes,达米安·斯兹弗隆,达米安·斯兹弗隆,达里奥·格兰迪内蒂/玛丽娅·玛努尔/莫妮卡·比利亚/丽塔·科尔泰塞/胡丽叶塔·泽尔贝伯格/凯撒·博尔东/莱昂纳多·斯巴拉格利亚/沃尔特·多纳多/里卡多·达林/南希·杜普拉/奥斯卡·马丁内兹/玛莉亚·奥内托/奥斯马·努涅斯/赫尔曼·德·席尔瓦/艾丽卡·里瓦斯/地亚哥·詹蒂莱/玛格丽塔·莫菲诺,剧情/喜剧/犯罪,2014-05-17(戛纳电影节),122分钟,8.7,138938, 阿根廷 / 西班牙, 西班牙语, 蛮荒故事 / 生命中最抓狂的小事(台) / 无定向丧心病狂(港) / 蛮荒史 / Wild Tales
No.157,二十二,郭柯,,,纪录片,2017-08-14(中国大陆),99分钟(公映版),8.8,89727, 中国大陆, 汉语普通话, Twenty Two / 22
No.158,我是山姆 I Am Sam,杰茜·尼尔森,杰茜·尼尔森/克里斯汀·约翰逊,西恩·潘/达科塔·范宁/米歇尔·菲佛/黛安·韦斯特/洛雷塔·迪瓦恩/理查德·希夫/劳拉·邓恩,剧情/家庭,2001-12-03(美国),132 分钟,8.8,104532, 美国, 英语, 不一样的爸爸(港) / 他不笨，他是我爸爸(台)
No.159,小森林 冬春篇 リトル・フォレスト 冬・春,森淳一,森淳一,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,2015-02-14(日本),120分钟,8.9,114600, 日本, 日语, 小森食光/冬春篇(台) / Little Forest: Winter & Spring
No.160,人工智能 Artificial Intelligence: AI,史蒂文·斯皮尔伯格,布莱恩·奥尔迪斯/史蒂文·斯皮尔伯格/Ian Watson,海利·乔·奥斯蒙/弗兰西丝·奥康纳/山姆·洛巴兹/杰克·托马斯/裘德·洛/威廉·赫特/肯·梁/克拉克·格雷格/凯文·苏斯曼/汤姆·加洛普/Eugene Osment/艾普尔·格雷斯/马特·温斯顿/萨布丽娜·格德维奇/Theo Greenly,剧情/科幻/冒险,2001-06-29(美国),146分钟,8.6,191161, 美国, 英语, AI人工智慧
No.161,浪潮 Die Welle,丹尼斯·甘塞尔,丹尼斯·甘塞尔/彼得·图万斯/约翰尼·道金斯/罗恩·比恩巴赫/罗恩·琼斯,于尔根·福格尔/弗雷德里克·劳/马克思·雷迈特/詹妮弗·乌尔里希/克里斯蒂安娜·保罗/雅各布·马琛茨/克里斯蒂娜·度·瑞格/埃利亚斯·穆巴里克/马克西米利安·福尔马尔/马克斯·毛夫,剧情/惊悚,2008-03-13(德国),107 分钟,8.7,133265, 德国, 德语, 恶魔教室(台) / 白恤暴潮(港) / 波浪 / 挥手礼 / The Wave
No.162,冰川时代 Ice Age,卡洛斯·沙尔丹哈/克里斯·韦奇,迈克尔·伯格 /迈克尔·J·威尔森/彼得·阿克曼,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/杰克·布莱克,喜剧/动画/冒险,2002-03-15(美国),81 分钟,8.4,273146, 美国, 英语 / 克罗地亚语, 冰河世纪 / 冰原历险记
No.163,香水 Perfume: The Story of a Murderer,汤姆·提克威,安德鲁·伯金/贝尔恩德·艾辛格/汤姆·提克威/帕特里克·聚斯金德,本·卫肖/艾伦·瑞克曼/蕾切儿·哈伍德/达斯汀·霍夫曼/大卫·卡尔德/比吉特·米尼希迈尔/卡洛斯·格拉马赫/西恩·托马斯/佩里·米尔沃德/山姆·道格拉斯/卡罗莉内·赫尔富特/卡罗丽娜·维拉·斯克利亚/莎拉·弗里斯蒂/科琳娜·哈弗奇/杰西卡·施瓦茨/约翰·赫特,剧情/犯罪/奇幻,2006-09-07(德国),147分钟,8.4,277803, 德国 / 法国 / 西班牙 / 美国, 英语, 香水：一个杀人犯的故事 / 香水：一个谋杀犯的故事 / 香水：杀手的故事 / 杀手故事 / Das Parfum - Die Geschichte eines Mörders
No.164,时空恋旅人 About Time,理查德·柯蒂斯,理查德·柯蒂斯,多姆纳尔·格里森/瑞秋·麦克亚当斯/比尔·奈伊/莉迪亚·威尔逊/汤姆·霍兰德/琳赛·邓肯/玛格特·罗比/凡妮莎·柯比/李·阿斯奎斯-柯/凯瑟琳·斯戴曼,剧情/爱情/奇幻,2013-09-04(英国),123分钟,8.6,201067, 英国, 英语, 时空旅恋人 / 回到最爱的一天(港) / 真爱每一天(台)
No.165,唐伯虎点秋香 唐伯虎點秋香,李力持,李力持/谷德昭/陈文强,周星驰/巩俐/陈百祥/郑佩佩/朱咪咪/梁家仁/苑琼丹/梁荣忠/黄一山/黄霑/吴镇宇/刘家辉/蓝洁瑛/谷德昭/陈辉虹/李健仁/宣萱/温翠萍,喜剧/爱情/古装,1993-07-01(香港),102 分钟,8.4,328245, 香港, 粤语, Flirting Scholar
No.166,超能陆战队 Big Hero 6,唐·霍尔/克里斯·威廉姆斯,乔丹·罗伯茨/丹尼尔·吉尔森/罗伯特·L·贝尔德,斯科特·安第斯/瑞恩·波特/丹尼尔·海尼/T·J·米勒/杰米·钟/小达蒙·韦恩斯/珍尼希斯·罗德里格兹/詹姆斯·克伦威尔/艾伦·图代克/玛娅·鲁道夫/亚布拉哈姆·本鲁比/凯蒂·洛斯/比利·布什/丹尼尔·吉尔森/保罗·布里格斯,喜剧/动作/科幻/动画/冒险,2015-02-28(中国大陆),102分钟,8.6,371400, 美国, 英语, 大英雄联盟(港) / 大英雄天团(台) / 六大英雄 / (●—●)
No.167,朗读者 The Reader,史蒂芬·戴德利,戴维·黑尔/本哈德·施林克,凯特·温丝莱特/拉尔夫·费因斯/大卫·克劳斯/詹妮特·海因/苏珊娜·洛塔尔/Alissa Wilms/弗罗里安·巴西奥罗麦/弗里德里克·贝得勒支/马蒂亚斯·哈比希/Frieder Venus/Marie-Anne Fliegel/Hendrik Arnst/Rainer Sellien/托尔斯滕·米凯利斯/Moritz Grove,剧情/爱情,2008-12-10(纽约首映),124 分钟,8.5,279835, 美国 / 德国, 英语 / 德语 / 希腊语 / 拉丁语, 为爱朗读(台) / 读爱(港) / 生死朗读
No.168,心迷宫,忻钰坤,忻钰坤/冯元良/鲁妮凡,霍卫民/王笑天/罗芸/杨瑜珍/孙黎/邵胜杰/曹西安/贾致钢/朱自清/王梓尘/赵梓彤/贾世忠/袁满/陈梅生/张景素/平坦/金子/张建军,剧情/悬疑/犯罪,2015-10-16(中国大陆),110分钟(中国大陆),8.6,162638, 中国大陆, 汉语普通话, 殡棺 / The Coffin in the Mountain / Deep in the Heart
No.169,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,克里斯托弗·诺兰,大卫·S·高耶/乔纳森·诺兰/克里斯托弗·诺兰,克里斯蒂安·贝尔/汤姆·哈迪/安妮·海瑟薇/约瑟夫·高登-莱维特/玛丽昂·歌迪亚/加里·奥德曼/迈克尔·凯恩/摩根·弗里曼/朱诺·坦普尔/乔什·平茨/丹尼尔·逊亚塔/内斯特·卡博内尔/伯恩·戈曼/连姆·尼森/乔伊·金/艾丹·吉伦/基里安·墨菲/乔什·斯图沃特/马修·莫迪恩/本·门德尔森,剧情/动作/科幻/惊悚/犯罪,2012-08-27(中国大陆),165分钟,8.5,296495, 美国 / 英国, 英语 / 阿拉伯语, 蝙蝠侠前传3：黑暗骑士崛起 / 黑暗骑士：黎明升起(台) / 蝙蝠侠：夜神起义(港) / 蝙蝠侠前传3：黑骑再起 / 蝙蝠侠7：黑暗骑士崛起 / 暗夜骑士崛起 / T.D.K.R. / TDKR / Batman 3: The Dark Knight Rises
No.170,追随 Following,克里斯托弗·诺兰,克里斯托弗·诺兰,杰里米·西奥伯德/亚历克斯·霍/露西·拉塞尔/约翰·诺兰/Dick Bradsell/Gillian El-Kadi/詹妮弗·安格/Nicolas Carlotti/Darren Ormandy/盖·格林威/Tassos Stevens/Tristan Martin/瑞贝卡·詹姆斯/保罗·曼森/David Bovill,悬疑/惊悚/犯罪,1998-09-12(多伦多电影节),70分钟,8.9,82458, 英国, 英语, 致命追踪 / 跟踪 / 尾随
No.171,罗生门 羅生門,黑泽明,黑泽明/桥本忍/芥川龙之介,三船敏郎/千秋实/京町子/森雅之/志村乔,剧情/悬疑/犯罪,1950-08-26(日本),88分钟,8.7,125826, 日本, 日语, Rashomon
No.172,撞车 Crash,保罗·哈吉斯,保罗·哈吉斯/罗伯特·莫里斯克,桑德拉·布洛克/唐·钱德尔/马特·狄龙/布兰登·费舍/泰伦斯·霍华德/坦迪·牛顿/卢达克里斯/迈克尔·佩纳/珍妮弗·艾斯波西多/瑞恩·菲利普,剧情/犯罪,2004-09-10(多伦多电影节),112分钟,8.6,175183, 美国 / 德国, 英语 / 波斯语 / 西班牙语 / 汉语普通话 / 韩语, 冲击效应 / 冲撞 / L.A. Crash
No.173,一次别离 جدایی نادر از سیمین,阿斯哈·法哈蒂,阿斯哈·法哈蒂,佩曼·莫阿迪/蕾拉·哈塔米/萨瑞·巴亚特/沙哈布·侯赛尼/萨日娜·法哈蒂/梅里拉·扎雷伊/阿里-阿萨哈·萨哈巴齐/巴巴克·卡里米/吉米娅·侯赛伊妮/希尔·亚齐丹巴克什/萨哈巴努·佐哈多,剧情/家庭,2012-11-13(中国大陆),123分钟,8.7,133041, 伊朗 / 法国, 波斯语, 分居风暴(台) / 伊朗式分居(港) / 内达与西敏：一次别离 / 纳德和西敏：一次离别 / 纳德和西敏：一次别离 / 别离 / A Separation / Nader and Simin a Separation / Jodaeiye Nader az Simin
No.174,可可西里,陆川,陆川,多布杰/张正阳/奇道/赵雪莹/马占林/赵一穗,剧情/犯罪,2004-10-01(中国大陆),85分钟(中国大陆),8.7,129799, 中国大陆 / 香港, 汉语普通话 / 藏语, Kekexili: Mountain Patrol
