排名,片名,导演,编剧,主演,类型,上映日期,片长,豆瓣评分,评价人数,制片地区/国家,语言,又名
No.38,两杆大烟枪 Lock Stock and Two Smoking Barrels,盖·里奇,盖·里奇,杰森·弗莱明/德克斯特·弗莱彻/尼克·莫兰/杰森·斯坦森/斯蒂文·麦金托什/斯汀/维尼·琼斯,剧情/喜剧/犯罪,1998-08-28(英国),107分钟,9.1,285417, 英国, 英语, 够姜四小强(港) / 两根枪管(台) / 两只老烟枪 / 魔高一丈 / 两杆老烟枪
No.39,窃听风暴 Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔克,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃/马蒂娜·格德克/塞巴斯蒂安·科赫/乌尔里希·图库尔/托马斯·蒂梅,剧情/悬疑,2006-03-23(德国),137分钟,9.1,235594, 德国, 德语, 他人的生活 / 别人的生活 / 窃听者 / 别样人生 / The Lives of Others
No.40,飞越疯人院 One Flew Over the Cuckoo's Nest,米洛斯·福尔曼,劳伦斯·奥邦/博·古德曼,杰克·尼科尔森/丹尼·德维托/克里斯托弗·洛伊德/路易丝·弗莱彻/特德·马克兰德/布拉德·道里夫,剧情,1975-11-21(美国),133分钟,9.0,289237, 美国, 英语, 飞越杜鹃窝 / 飞越喜鹊巢
No.41,海豚湾 The Cove,路易·西霍尤斯,马克·蒙雷,John Chisholm/Mandy-Rae Cruikshank/Charles Hambleton/Simon Hutchins/Kirk Krack/伊莎贝尔·卢卡斯/Richard O'Barry/海顿·潘妮蒂尔/路易·西霍尤斯,纪录片,2009-07-31(美国),92分钟,9.3,188772, 美国, 英语 / 日语, 血色海湾(台) / 海湾 / 海湾屠场 / 海湾峡谷 / The Rising
No.42,控方证人 Witness for the Prosecution,比利·怀尔德,阿加莎·克里斯蒂/比利·怀尔德/哈里·库尼兹,泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/爱尔莎·兰切斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登,剧情/悬疑/犯罪,1957-12-17(美国),116分钟,9.6,99099, 美国, 英语 / 德语, 雄才伟略 / 情妇
No.43,闻香识女人 Scent of a Woman,马丁·布莱斯,博·古德曼/乔瓦尼·阿尔皮诺,阿尔·帕西诺/克里斯·奥唐纳/詹姆斯·瑞布霍恩/加布里埃尔·安瓦尔/菲利普·塞默·霍夫曼/Richard Venture/布莱德利·惠特福德/Rochelle Oliver/Margaret Eginton/Tom Riis Farrell/Nicholas Sadler/托德·路易斯/Matt Smith/吉恩·坎菲尔德/弗兰西丝·康罗伊,剧情,1992-12-23(美国),157 分钟,8.9,339096, 美国, 英语, 女人香 / 女人的芳香
No.44,疯狂动物城 Zootopia,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·玛吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,喜剧/动画/冒险,2016-03-04(中国大陆/美国),109分钟(中国大陆),9.2,535236, 美国, 英语 / 挪威语, 优兽大都会(港) / 动物方城市(台) / 动物乌托邦 / 动物大都会 / Zootropolis
No.45,V字仇杀队 V for Vendetta,詹姆斯·麦克特格,莉莉·沃卓斯基/拉娜·沃卓斯基,娜塔莉·波特曼/雨果·维文/斯蒂芬·瑞/斯蒂芬·弗雷/约翰·赫特/蒂姆·皮戈特-史密斯/鲁珀特·格雷夫斯/罗杰·阿拉姆/本·迈尔斯/西妮德·库萨克/娜塔莎·怀特曼/约翰·斯坦丁/埃迪·马森/克里夫·阿什伯恩/Emma Field-Rayner/伊安·布尔费尔德/Mark Phoenix/Alister Mazzotti/比莉·库克/盖伊·亨利/科斯马·肖/Megan Gay/Roderic Culver/Tara Hacking/安迪·莱什利兹/查德·史塔赫斯基/布拉德利·斯蒂夫·福特/Madeleine Rakic-Platt/塞丽娜·贾尔斯/卡斯腾·海斯/伊莫琴·普茨/劳拉·格林伍德/Kyra Meyer/玛丽·萧克莱 /理查德·莱恩/Michael Simkins,剧情/动作/科幻/惊悚,2005-12-11(BNAT电影节),132分钟,8.8,439093, 美国 / 英国 / 德国, 英语, V煞(港) / V怪客(台) / 复仇者V / V字仇杀令 / V字别动队
No.46,哈尔的移动城堡 ハウルの動く城,宫崎骏,宫崎骏/吉田玲子,倍赏千惠子/木村拓哉/美轮明宏/我修院达也/神木隆之介/伊崎充则/大泉洋/大塚明夫/原田大二郎/加藤治子,爱情/动画/奇幻/冒险,2004-09-05(威尼斯电影节),119分钟,8.9,369870, 日本, 日语, 呼啸山城 / 霍尔的移动城堡 / 豪尔的机动城堡 / Howl's Moving Castle / Hauru no ugoku shiro
No.47,教父2 The Godfather: Part Ⅱ,弗朗西斯·福特·科波拉,弗朗西斯·福特·科波拉/马里奥·普佐,阿尔·帕西诺/罗伯特·杜瓦尔/黛安·基顿/罗伯特·德尼罗/约翰·凯泽尔/塔莉娅·夏尔/李·斯特拉斯伯格/迈克尔·V·格佐/G·D·斯普拉德林/理查德·布赖特/加斯通·莫辛/汤姆·罗斯奎/布鲁诺·柯比/弗兰克·西维罗/弗朗西丝卡·德·萨维奥,剧情/犯罪,1974-12-12(纽约首映),202分钟,9.1,196721, 美国, 英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语, 教父续集 / 教父II
